tiempo,To
2019-06-23 12:40:00,25.95
2019-06-23 12:50:00,26.06
2019-06-23 13:00:00,25.49
2019-06-23 13:10:00,25.53
2019-06-23 13:20:00,25.76
2019-06-23 13:30:00,25.5
2019-06-23 13:40:00,26.22
2019-06-23 13:50:00,26.66
2019-06-23 14:00:00,27.35
2019-06-23 14:10:00,26.96
2019-06-23 14:20:00,27.9
2019-06-23 14:30:00,27.76
2019-06-23 14:40:00,28.13
2019-06-23 14:50:00,28.29
2019-06-23 15:00:00,28.25
2019-06-23 15:10:00,27.89
2019-06-23 15:20:00,28.34
2019-06-23 15:30:00,27.76
2019-06-23 15:40:00,28.51
2019-06-23 15:50:00,27.86
2019-06-23 16:00:00,27.56
2019-06-23 16:10:00,28.05
2019-06-23 16:20:00,27.75
2019-06-23 16:30:00,28.12
2019-06-23 16:40:00,27.97
