tiempo,ws,wd
2019-05-05 18:30:00,2.707,188.2
2019-05-05 18:40:00,5.055,204.3
2019-05-05 18:50:00,4.62,199.7
2019-05-05 19:00:00,5.022,218.7
2019-05-05 19:10:00,4.18,227.4
2019-05-05 19:20:00,4.172,209.2
2019-05-05 19:30:00,2.652,192.1
2019-05-05 19:40:00,5.205,200.0
2019-05-05 19:50:00,3.79,234.7
2019-05-05 20:00:00,3.557,225.2
2019-05-05 20:10:00,3.895,209.5
2019-05-05 20:20:00,4.762,216.9
2019-05-05 20:30:00,4.087,196.3
2019-05-05 20:40:00,3.968,202.0
2019-05-05 20:50:00,3.68,189.9
2019-05-05 21:00:00,3.575,188.5
2019-05-05 21:10:00,3.97,187.0
2019-05-05 21:20:00,2.34,186.1
2019-05-05 21:30:00,2.353,177.2
2019-05-05 21:40:00,2.773,207.1
2019-05-05 21:50:00,2.847,234.8
2019-05-05 22:00:00,1.292,107.7
2019-05-05 22:10:00,2.062,67.67
2019-05-05 22:20:00,2.178,79.99
2019-05-05 22:30:00,1.24,161.6
2019-05-05 22:40:00,0.743,227.7
2019-05-05 22:50:00,0.898,221.9
2019-05-05 23:00:00,0.845,125.4
2019-05-05 23:10:00,1.273,14.59
2019-05-05 23:20:00,0.342,79.99
2019-05-05 23:30:00,1.418,44.35
2019-05-05 23:40:00,1.088,8.7
2019-05-05 23:50:00,2.067,349.8
2019-05-06 00:00:00,1.673,295.3
2019-05-06 00:10:00,1.27,307.3
2019-05-06 00:20:00,0.79,330.8
2019-05-06 00:30:00,0.843,327.8
2019-05-06 00:40:00,0.348,330.7
2019-05-06 00:50:00,0.157,20.36
2019-05-06 01:00:00,0.248,308.8
2019-05-06 01:10:00,0.18,334.4
2019-05-06 01:20:00,0.533,322.0
2019-05-06 01:30:00,0.79,317.3
2019-05-06 01:40:00,0.517,333.9
2019-05-06 01:50:00,0.505,321.8
2019-05-06 02:00:00,0.762,288.8
2019-05-06 02:10:00,0.638,283.8
2019-05-06 02:20:00,0.593,247.2
2019-05-06 02:30:00,0.963,295.4
2019-05-06 02:40:00,1.767,280.4
2019-05-06 02:50:00,0.895,296.4
2019-05-06 03:00:00,0.828,344.6
2019-05-06 03:10:00,0.39,3.58
2019-05-06 03:20:00,0.203,358.6
2019-05-06 03:30:00,0.22,184.5
2019-05-06 03:40:00,0.22,205.1
2019-05-06 03:50:00,0.198,205.0
2019-05-06 04:00:00,0.312,177.7
2019-05-06 04:10:00,0.388,134.7
2019-05-06 04:20:00,0.407,109.3
2019-05-06 04:30:00,0.573,97.6
2019-05-06 04:40:00,0.45,69.55
2019-05-06 04:50:00,0.595,19.28
2019-05-06 05:00:00,0.74,68.82
2019-05-06 05:10:00,1.125,42.33
2019-05-06 05:20:00,0.892,19.75
2019-05-06 05:30:00,0.847,18.38
2019-05-06 05:40:00,1.052,320.3
2019-05-06 05:50:00,1.613,7.187
2019-05-06 06:00:00,1.355,40.33
2019-05-06 06:10:00,0.838,7.945
2019-05-06 06:20:00,1.348,359.6
2019-05-06 06:30:00,2.137,18.18
2019-05-06 06:40:00,1.357,11.65
2019-05-06 06:50:00,1.712,25.17
2019-05-06 07:00:00,2.032,27.35
2019-05-06 07:10:00,1.133,21.49
2019-05-06 07:20:00,1.54,42.67
2019-05-06 07:30:00,0.943,24.28
2019-05-06 07:40:00,0.753,42.06
2019-05-06 07:50:00,0.767,22.65
2019-05-06 08:00:00,0.718,64.97
2019-05-06 08:10:00,1.097,52.58
2019-05-06 08:20:00,0.62,59.29
2019-05-06 08:30:00,0.663,39.75
2019-05-06 08:40:00,0.498,13.0
2019-05-06 08:50:00,0.713,138.6
2019-05-06 09:00:00,0.545,139.2
2019-05-06 09:10:00,0.668,98.5
2019-05-06 09:20:00,0.665,129.9
2019-05-06 09:30:00,0.925,105.9
2019-05-06 09:40:00,0.712,76.12
2019-05-06 09:50:00,0.527,175.7
2019-05-06 10:00:00,0.523,189.4
2019-05-06 10:10:00,0.4,210.7
2019-05-06 10:20:00,0.397,188.4
2019-05-06 10:30:00,0.6,116.7
2019-05-06 10:40:00,0.335,226.2
2019-05-06 10:50:00,0.323,140.6
2019-05-06 11:00:00,0.792,107.0
2019-05-06 11:10:00,1.85,119.6
2019-05-06 11:20:00,1.627,107.3
2019-05-06 11:30:00,1.543,70.36
2019-05-06 11:40:00,1.853,78.01
2019-05-06 11:50:00,1.035,89.7
2019-05-06 12:00:00,0.872,202.4
2019-05-06 12:10:00,1.963,184.8
2019-05-06 12:20:00,0.788,145.0
2019-05-06 12:30:00,1.853,232.7
2019-05-06 12:40:00,1.495,176.2
2019-05-06 12:50:00,1.113,113.0
2019-05-06 13:00:00,2.53,150.0
2019-05-06 13:10:00,0.75,116.4
2019-05-06 13:20:00,2.153,187.5
2019-05-06 13:30:00,0.967,223.0
2019-05-06 13:40:00,1.302,116.8
2019-05-06 13:50:00,0.925,273.9
2019-05-06 14:00:00,1.185,221.5
2019-05-06 14:10:00,2.817,219.6
2019-05-06 14:20:00,1.887,242.2
2019-05-06 14:30:00,3.042,181.9
2019-05-06 14:40:00,1.212,147.8
2019-05-06 14:50:00,2.41,169.1
2019-05-06 15:00:00,1.573,159.4
2019-05-06 15:10:00,3.098,183.8
2019-05-06 15:20:00,0.715,223.7
2019-05-06 15:30:00,2.967,223.8
2019-05-06 15:40:00,0.682,247.7
2019-05-06 15:50:00,1.317,199.0
2019-05-06 16:00:00,1.222,238.7
2019-05-06 16:10:00,1.298,257.8
2019-05-06 16:20:00,3.132,326.3
2019-05-06 16:30:00,1.237,344.0
2019-05-06 16:40:00,2.753,343.2
2019-05-06 16:50:00,3.87,0.39
2019-05-06 17:00:00,2.58,356.0
2019-05-06 17:10:00,1.705,345.6
2019-05-06 17:20:00,1.33,5.298
2019-05-06 17:30:00,1.963,18.86
2019-05-06 17:40:00,1.288,346.5
2019-05-06 17:50:00,1.807,1.394
2019-05-06 18:00:00,1.765,340.8
2019-05-06 18:10:00,1.367,352.5
2019-05-06 18:20:00,1.745,333.0
2019-05-06 18:30:00,1.687,315.0
2019-05-06 18:40:00,0.712,295.0
2019-05-06 18:50:00,3.398,237.3
2019-05-06 19:00:00,3.132,225.9
2019-05-06 19:10:00,2.605,248.0
2019-05-06 19:20:00,1.772,262.8
2019-05-06 19:30:00,3.197,265.6
2019-05-06 19:40:00,2.22,327.7
2019-05-06 19:50:00,2.192,351.7
2019-05-06 20:00:00,0.373,336.5
2019-05-06 20:10:00,1.357,352.5
2019-05-06 20:20:00,0.308,38.28
2019-05-06 20:30:00,0.22,245.0
2019-05-06 20:40:00,0.333,114.7
2019-05-06 20:50:00,0.63,187.6
