Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/06  13:40:00,32.0,30.39885083412933 
 05/06  13:50:00,32.3,30.28832370159215 
 05/06  14:00:00,32.7,30.439929973213599 
 05/06  14:10:00,32.8,30.925599845580089 
 05/06  14:20:00,33.0,31.90167910268123 
 05/06  14:30:00,32.9,31.404432054563644 
 05/06  14:40:00,33.3,32.395397459097939 
 05/06  14:50:00,32.8,31.37313680199183 
 05/06  15:00:00,32.6,31.714247725025016 
 05/06  15:10:00,32.9,31.57254954653703 
 05/06  15:20:00,33.0,32.22743400364291 
 05/06  15:30:00,33.7,31.528837257550735 
 05/06  15:40:00,33.4,32.43475669761979 
 05/06  15:50:00,33.0,31.19587411569075 
 05/06  16:00:00,33.2,31.380493961338396 
 05/06  16:10:00,33.5,31.70514980675948 
 05/06  16:20:00,33.5,31.4829024556085 
 05/06  16:30:00,33.7,32.67196888445979 
 05/06  16:40:00,33.8,31.959703529065047 
 05/06  16:50:00,33.6,32.49672360080801 
 05/06  17:00:00,33.8,33.08076220349077 
 05/06  17:10:00,34.3,33.10932628419847 
 05/06  17:20:00,34.0,32.473538305197369 
 05/06  17:30:00,33.3,31.78633604865793 
 05/06  17:40:00,33.8,32.314931195430229 
 05/06  17:50:00,33.5,31.907410479884537 
 05/06  18:00:00,33.5,32.01209899627779 
 05/06  18:10:00,33.3,32.027412913912808 
 05/06  18:20:00,33.4,31.87411462148564 
 05/06  18:30:00,33.7,32.13884160032789 
 05/06  18:40:00,33.4,32.030679384000098 
 05/06  18:50:00,33.2,31.39727166265019 
 05/06  19:00:00,33.0,32.165998015110528 
 05/06  19:10:00,32.7,32.1328986567079 
 05/06  19:20:00,32.4,31.557231711200374 
 05/06  19:30:00,32.0,30.826352799126057 
 05/06  19:40:00,31.7,30.750943872972607 
 05/06  19:50:00,31.5,30.833050364809514 
 05/06  20:00:00,31.2,30.686090402480614 
 05/06  20:10:00,30.9,30.05210068034788 
 05/06  20:20:00,30.5,29.831349233073717 
 05/06  20:30:00,30.3,29.5439936953894 
 05/06  20:40:00,30.1,29.306043927865824 
 05/06  20:50:00,30.0,29.206308257012507 
 05/06  21:00:00,29.7,29.166004417528837 
 05/06  21:10:00,29.4,29.051058541858859 
 05/06  21:20:00,28.1,28.510476489452988 
 05/06  21:30:00,28.1,28.289415182038469 
 05/06  21:40:00,28.3,28.317718161441087 
 05/06  21:50:00,27.7,28.10350788777248 
 05/06  22:00:00,26.6,27.32144219586193 
 05/06  22:10:00,26.4,27.079535788844966 
 05/06  22:20:00,26.6,27.008618348287994 
 05/06  22:30:00,26.7,27.022151448084189 
 05/06  22:40:00,26.1,27.112395102385155 
 05/06  22:50:00,25.8,26.619237186429005 
 05/06  23:00:00,26.5,26.978807015816405 
