Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/05  20:00:00,26.3,0.0,0.0,0.0,0.0,0.0 
 03/05  20:10:00,26.0,0.0,0.0,0.0,0.0,0.0 
 03/05  20:20:00,26.3,0.0,0.0,0.0,0.0,0.0 
 03/05  20:30:00,26.1,0.0,0.0,0.0,0.0,0.0 
 03/05  20:40:00,26.0,0.0,0.0,0.0,0.0,0.0 
 03/05  20:50:00,26.2,0.0,0.0,0.0,0.0,0.0 
 03/05  21:00:00,25.9,0.0,0.0,0.0,0.0,0.0 
 03/05  21:10:00,26.1,0.0,0.0,0.0,0.0,0.0 
 03/05  21:20:00,25.9,0.0,0.0,0.0,0.0,0.0 
 03/05  21:30:00,25.3,0.0,0.0,0.0,0.0,0.0 
 03/05  21:40:00,25.3,0.0,0.0,0.0,0.0,0.0 
 03/05  21:50:00,25.4,0.0,0.0,0.0,0.0,0.0 
 03/05  22:00:00,25.2,0.0,0.0,0.0,0.0,0.0 
 03/05  22:10:00,25.1,0.0,0.0,0.0,0.0,0.0 
 03/05  22:20:00,25.6,0.0,0.0,0.0,0.0,0.0 
 03/05  22:30:00,25.5,0.0,0.0,0.0,0.0,0.0 
 03/05  22:40:00,25.0,0.0,0.0,0.0,0.0,0.0 
 03/05  22:50:00,25.0,0.0,0.0,0.0,0.0,0.0 
 03/05  23:00:00,25.3,0.0,0.0,0.0,0.0,0.0 
 03/05  23:10:00,25.4,0.0,0.0,0.0,0.0,0.0 
 03/05  23:20:00,25.4,0.0,0.0,0.0,0.0,0.0 
 03/05  23:30:00,25.4,0.0,0.0,0.0,0.0,0.0 
 03/05  23:40:00,25.5,0.0,0.0,0.0,0.0,0.0 
 03/05  23:50:00,25.5,0.0,0.0,0.0,0.0,0.0 
 03/05  24:00:00,25.6,0.0,0.0,0.0,0.0,0.0 
