Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/05  10:30:00,28.2,316.3 
 05/05  10:40:00,28.3,319.6 
 05/05  10:50:00,28.8,325.9 
 05/05  11:00:00,28.7,334.3 
 05/05  11:10:00,28.6,346.9 
 05/05  11:20:00,29.0,323.6 
 05/05  11:30:00,28.9,291.8 
 05/05  11:40:00,29.6,268.6 
 05/05  11:50:00,30.5,269.1 
 05/05  12:00:00,30.5,282.4 
 05/05  12:10:00,29.6,293.1 
 05/05  12:20:00,30.1,296.6 
 05/05  12:30:00,31.0,296.0 
 05/05  12:40:00,30.6,300.7 
 05/05  12:50:00,31.3,301.3 
 05/05  13:00:00,31.3,269.8 
 05/05  13:10:00,31.6,255.6 
 05/05  13:20:00,32.5,234.4 
 05/05  13:30:00,32.8,243.6 
 05/05  13:40:00,32.8,245.9 
 05/05  13:50:00,33.1,249.9 
 05/05  14:00:00,32.7,283.3 
 05/05  14:10:00,33.7,258.3 
 05/05  14:20:00,33.0,220.1 
 05/05  14:30:00,33.3,206.2 
 05/05  14:40:00,33.5,221.9 
 05/05  14:50:00,34.0,252.5 
 05/05  15:00:00,34.4,242.7 
 05/05  15:10:00,34.5,244.1 
 05/05  15:20:00,34.4,259.0 
 05/05  15:30:00,34.2,248.2 
 05/05  15:40:00,34.4,225.3 
 05/05  15:50:00,34.2,215.6 
 05/05  16:00:00,34.3,215.9 
 05/05  16:10:00,34.2,205.6 
 05/05  16:20:00,34.6,225.0 
 05/05  16:30:00,34.8,186.2 
 05/05  16:40:00,34.1,158.8 
 05/05  16:50:00,33.8,118.3 
 05/05  17:00:00,33.6,132.4 
 05/05  17:10:00,33.6,116.3 
 05/05  17:20:00,33.8,136.9 
 05/05  17:30:00,34.0,165.8 
 05/05  17:40:00,33.8,124.7 
 05/05  17:50:00,33.8,106.0 
 05/05  18:00:00,33.7,90.5 
 05/05  18:10:00,33.3,81.8 
 05/05  18:20:00,33.2,72.24 
 05/05  18:30:00,33.4,58.73 
 05/05  18:40:00,33.5,42.29 
 05/05  18:50:00,33.1,32.38 
 05/05  19:00:00,32.6,0.0 
 05/05  19:10:00,32.4,0.0 
 05/05  19:20:00,32.3,0.0 
 05/05  19:30:00,32.1,0.0 
 05/05  19:40:00,32.0,0.0 
 05/05  19:50:00,31.6,0.0 
 05/05  20:00:00,31.3,0.0 
 05/05  20:10:00,31.2,0.0 
 05/05  20:20:00,30.8,0.0 
 05/05  20:30:00,30.4,0.0 
 05/05  20:40:00,30.0,0.0 
 05/05  20:50:00,29.6,0.0 
 05/05  21:00:00,29.2,0.0 
 05/05  21:10:00,28.8,0.0 
 05/05  21:20:00,28.5,0.0 
 05/05  21:30:00,28.4,0.0 
 05/05  21:40:00,28.3,0.0 
 05/05  21:50:00,28.1,0.0 
 05/05  22:00:00,28.0,0.0 
 05/05  22:10:00,28.1,0.0 
 05/05  22:20:00,27.7,0.0 
 05/05  22:30:00,26.9,0.0 
 05/05  22:40:00,26.8,0.0 
 05/05  22:50:00,26.7,0.0 
 05/05  23:00:00,26.5,0.0 
 05/05  23:10:00,26.3,0.0 
 05/05  23:20:00,25.9,0.0 
 05/05  23:30:00,25.1,0.0 
 05/05  23:40:00,25.4,0.0 
 05/05  23:50:00,25.3,0.0 
 05/05  24:00:00,25.0,0.0 
 05/06  00:10:00,24.8,0.0 
 05/06  00:20:00,24.6,0.0 
 05/06  00:30:00,24.4,0.0 
 05/06  00:40:00,24.4,0.0 
 05/06  00:50:00,24.0,0.0 
 05/06  01:00:00,24.2,0.0 
 05/06  01:10:00,24.1,0.0 
 05/06  01:20:00,23.9,0.0 
 05/06  01:30:00,23.7,0.0 
 05/06  01:40:00,23.4,0.0 
 05/06  01:50:00,23.0,0.0 
 05/06  02:00:00,22.9,0.0 
 05/06  02:10:00,22.4,0.0 
 05/06  02:20:00,22.1,0.0 
 05/06  02:30:00,22.2,0.0 
 05/06  02:40:00,21.9,0.0 
 05/06  02:50:00,21.8,0.0 
 05/06  03:00:00,21.8,0.0 
 05/06  03:10:00,21.6,0.0 
 05/06  03:20:00,21.4,0.0 
 05/06  03:30:00,21.5,0.0 
 05/06  03:40:00,21.6,0.0 
 05/06  03:50:00,21.9,0.0 
 05/06  04:00:00,21.8,0.0 
